NAME,LAT,LONG,MRC
Abbott,36.250,-104.250,36104-C3
Abbott Lake,36.125,-104.250,36104-B3
Abbott NW,36.375,-104.375,36104-D4
Abeyta,37.000,-104.125,37104-A2
Abeytas,34.375,-106.750,34106-D7
Abiquiu,36.125,-106.250,36106-B3
Abo,34.375,-106.250,34106-D3
Abreu Canyon,36.625,-105.000,36105-F1
Acme,33.500,-104.250,33104-E3
Acoma Pueblo,34.875,-107.500,34107-H5
Adams Diggings,34.375,-108.250,34108-D3
Aden Crater,32.000,-107.000,32107-A1
Aden Hills,32.125,-107.000,32107-B1
Adobe Downs Ranch,36.875,-108.000,36108-H1
Afton,32.000,-106.875,32106-A8
Afton NW,32.125,-106.875,32106-B8
Agua Fria,35.625,-106.000,35106-F1
Agua Fria Peak,36.250,-105.125,36105-C2
Akela,32.125,-107.375,32107-B4
Alameda,35.125,-106.500,35106-B5
Alamito,35.750,-104.375,35104-G4
Alamo Mesa East,36.250,-108.000,36108-C1
Alamo Mesa West,36.250,-108.125,36108-C2
Alamo Mountain,32.000,-105.625,32105-A6
Alamo Mountain NE,32.125,-105.500,32105-B5
Alamo Ranch,34.250,-104.250,34104-C3
Alamogordo North,32.875,-105.875,32105-H8
Alamogordo South,32.750,-105.875,32105-G8
Alamosa Canyon,35.500,-103.750,35103-E7
Alamosa Creek,35.875,-104.500,35104-H5
Albert,35.875,-103.750,35103-H7
Albuquerque East,35.000,-106.500,35106-A5
Albuquerque West,35.000,-106.625,35106-A6
Alegres Mountain,34.125,-108.125,34108-B2
Algerita Canyon,32.250,-104.875,32104-C8
Alire,36.375,-106.500,36106-D5
Alivio,32.750,-107.000,32107-G1
Allie Canyon,32.875,-108.000,32108-H1
Alligator Draw,31.875,-104.375,31104-H4
Allison,37.000,-107.375,37107-A4
Alma,33.375,-108.875,33108-D8
Alma Mesa,33.375,-109.000,33109-D1
Alpine,33.750,-109.125,33109-G2
Alps Mesa,36.875,-103.875,36103-H8
Alston Ranch,33.125,-103.375,33103-B4
Alto De Hormiga,36.000,-104.500,36104-A5
Amalia,36.875,-105.375,36105-H4
Ambrosia Lake,35.375,-107.750,35107-D7
Amistad,35.875,-103.125,35103-H2
Amistad SE,35.750,-103.000,35103-G1
Anastacio Spring,36.875,-107.625,36107-H6
Ancho,33.875,-105.625,33105-H6
Anderson Peak,34.000,-107.750,34107-A7
Andrews Place,32.000,-103.375,32103-A4
Angel Draw,32.500,-104.125,32104-E2
Angus,33.375,-105.625,33105-D6
Animas,31.875,-108.750,31108-H7
Animas Peak,31.500,-108.750,31108-E7
Animas Peak NE,31.625,-108.750,31108-F7
Antelope Hill,32.375,-108.000,32108-D1
Antelope Lookout Mesa,35.750,-108.125,35108-G2
Antelope Pass,31.875,-108.875,31108-H8
Antelope Ridge,32.875,-108.625,32108-H6
Antelope Sink,32.625,-104.625,32104-F6
Anthony,32.000,-106.500,32106-A5
Anton Chico,35.125,-105.125,35105-B2
Antonito,37.000,-106.000,37106-A1
Apache,31.625,-109.125,31109-F2
Apache Canyon,34.875,-103.375,34103-H4
Apache Gap,32.875,-107.125,32107-H2
Apache Mesa,36.625,-106.750,36106-F7
Apache Peak,33.000,-107.625,33107-A6
Apache Springs,35.250,-105.125,35105-C2
Apache Summit,33.125,-105.625,33105-B6
Applegate Mountain,32.875,-108.750,32108-H7
Arabela,33.500,-105.125,33105-E2
Aragon,33.875,-108.500,33108-H5
Aragon Hill,36.125,-103.750,36103-B7
Arch,34.000,-103.125,34103-A2
Arch Mesa,35.125,-107.125,35107-B2
Arch NE,34.125,-103.000,34103-B1
Arch NW,34.125,-103.125,34103-B2
Archuleta,36.750,-107.625,36107-G6
Archuleta Creek,37.000,-106.500,37106-A5
Ares Peak,32.250,-104.750,32104-C7
Armstrong Canyon,34.250,-108.500,34108-C5
Arrosa Ranch,34.875,-107.875,34107-H8
Arrowhead Well,34.000,-107.500,34107-A5
Arroyo Alamocito,35.625,-104.250,35104-F3
Arroyo Chijuillita,36.000,-107.000,36107-A1
Arroyo Cuervo,32.625,-107.250,32107-F3
Arroyo Del Agua,36.125,-106.625,36106-B6
Arroyo Del Alamo,35.750,-103.750,35103-G7
Arroyo Empedrado,35.625,-107.125,35107-F2
Arroyo Hondo,36.500,-105.625,36105-E6
Arroyo Landavaso,34.000,-107.250,34107-A3
Arroyo Seco,36.500,-105.500,36105-E5
Arroyo Serrano East,33.625,-105.000,33105-F1
Arroyo Serrano West,33.625,-105.125,33105-F2
Arroyo de las Calabacillas,35.250,-106.750,35106-C7
Artesia,32.750,-104.375,32104-G4
Artesia NE,32.875,-104.250,32104-H3
Ash Mountain,36.750,-105.125,36105-G2
Aspen Basin,35.750,-105.750,35105-G7
Atarque Lake,34.750,-108.750,34108-G7
Atencio,36.750,-103.125,36103-G2
Augustine Well,34.000,-107.625,34107-A6
Aurora,35.125,-105.375,35105-B4
Avis,32.625,-105.375,32105-F4
Azotea Peak,32.375,-104.375,32104-D4
Aztec,36.750,-107.875,36107-G8
B T Ranch,32.125,-105.625,32105-B6
Badger Lake,33.875,-103.500,33103-H5
Baily Points,33.250,-107.875,33107-C8
Baldy Mountain,36.625,-105.125,36105-F2
Bancos Mesa,36.875,-107.250,36107-H3
Bancos Mesa NW,36.875,-107.375,36107-H4
Bandanna Point,32.250,-104.500,32104-C5
Bar C Bar Ranch,33.125,-104.125,33104-B2
Bar Y Ranch,35.125,-104.625,35104-B6
Bard,35.125,-103.125,35103-B2
Barela,37.000,-104.250,37104-A3
Barn Draw,33.500,-104.625,33104-E6
Barth Well,34.875,-109.000,34109-H1
Bascom Camp,35.250,-103.625,35103-C6
Basin Well,32.875,-104.000,32104-H1
Bassett Lake,32.000,-105.750,32105-A7
Bay Buck Peaks,33.750,-107.500,33107-G5
Beacon Hill,31.875,-108.625,31108-H6
Bear Mountain,33.000,-108.750,33108-A7
Bear Mountain,33.500,-109.125,33109-E2
Bear Peak,32.500,-106.500,32106-E5
Bear Spring,32.625,-105.500,32105-F5
Bear Springs Peak,35.625,-106.500,35106-F5
Bearwallow Mountain,33.375,-108.625,33108-D6
Beaver Canyon,35.875,-104.250,35104-H3
Beaverhead,33.625,-109.125,33109-F2
Becenti Lake,35.750,-108.000,35108-G1
Beck Ranch,35.875,-102.875,35102-H8
Becker,34.375,-106.500,34106-D5
Becker SW,34.250,-106.625,34106-C6
Beclabito,36.750,-109.000,36109-G1
Bedford Hill,35.000,-103.375,35103-A4
Beenham,36.125,-103.625,36103-B6
Beenham SW,36.000,-103.625,36103-A6
Belen,34.625,-106.750,34106-F7
Belen NW,34.625,-106.875,34106-F8
Belen SW,34.500,-106.875,34106-E8
Bell Lake,32.125,-103.500,32103-B5
Bell Mountain,33.000,-107.500,33107-A5
Bell Peak,33.875,-108.250,33108-H3
Bell Ranch,35.500,-104.000,35104-E1
Bellview,34.750,-103.000,34103-G1
Benavidez Ranch,35.125,-106.875,35106-B8
Bennett Mountain,32.500,-106.375,32106-E4
Bernalillo,35.250,-106.500,35106-C5
Bernalillo NW,35.375,-106.625,35106-D6
Bethel,34.125,-103.375,34103-B4
Bible Top Butte,36.500,-103.250,36103-E3
Big Costilla Peak,36.875,-105.250,36105-H3
Big Gyp Mountain,33.250,-106.625,33106-C6
Big Hatchet Peak,31.625,-108.375,31108-F4
Big Heiser Tank,31.875,-105.625,31105-H6
Big Hole Canyon,37.000,-102.875,37102-A8
Big Lue Mountains,33.000,-109.000,33109-A1
Big Rock Hill,35.625,-108.625,35108-F6
Big Sinks,32.125,-103.750,32103-B7
Bigbee Draw,34.250,-106.125,34106-C2
Bighorn Peak,36.875,-106.125,36106-H2
Billy Rice Canyon,36.250,-107.125,36107-C2
Birdwell Ranch,34.125,-102.875,34102-B8
Bisbee Hills,32.000,-107.875,32107-A8
Bishop Cap,32.125,-106.500,32106-B5
Bishop Ranch,34.125,-106.375,34106-B4
Bisti Trading Post,36.250,-108.250,36108-C3
Bitter Creek,33.125,-106.125,33106-B2
Bitter Lake,33.375,-104.375,33104-D4
Bixler Ranch,36.750,-107.125,36107-G2
Black Bluffs,33.250,-107.125,33107-C2
Black Butte,34.375,-106.625,34106-D6
Black Canyon,36.375,-103.375,36103-D4
Black Hill,33.500,-107.125,33107-E2
Black Mesa,32.125,-106.750,32106-B7
Black Mountain,33.375,-108.125,33108-D2
Black Peak,34.000,-108.750,34108-A7
Black Point,31.375,-108.875,31108-D8
Black River Village,32.125,-104.250,32104-B3
Blackwater Hill,33.375,-104.750,33104-D7
Blaines Lake,34.250,-108.750,34108-C7
Blakemore Well,33.500,-106.625,33106-E6
Blanco,36.625,-107.750,36107-F7
Blanco Trading Post,36.250,-107.750,36107-C7
Bland,35.750,-106.375,35106-G4
Bledsoe,33.500,-103.000,33103-E1
Bledsoe NE,33.625,-103.000,33103-F1
Bledsoe SW,33.500,-103.125,33103-E2
Blind Gap,36.625,-103.500,36103-F5
Bloomfield,36.625,-107.875,36107-F8
